Location,Account,Energy Utilisation (%),Time Utilisation (%),Net Rev Exc. VAT/port/day,Energy Throughput/port/day (kWh),GHG Avoided/port/day (kg),Emission-Free Miles/port/day,Equiv. Trees for 10y/port/day,Sessions/port/day,Charging Time (avg),Dwell Time (avg),Overstay Time (avg),Latitude,Longitude,Postcode,Number of Ports,Charger Type,Venue Type,,,,,,,,,,,,,,,,,,
MASTER POTTER,Greene King,0.50%,0.91%,0.632,1.322,1.179,4.361,0.030,0.102,01:51:03,02:07:39,00:16:36,52.97765931,-1.988338103,ST10 1LW,4,AC,Pub,,,,,,,,,,,,,,,,,,
MEADOW COVERT,Greene King,0.92%,1.40%,1.131,2.402,2.143,7.927,0.055,0.108,02:29:34,03:05:18,00:35:44,52.91593386,-1.10900612,NG12 4AT,4,AC,Pub,,,,,,,,,,,,,,,,,,
MERLIN,Greene King,0.94%,1.50%,1.174,2.451,2.186,8.088,0.056,0.135,02:01:16,02:38:00,00:36:44,51.55979259,-1.772074208,SN1 3AF,4,AC,Pub,,,,,,,,,,,,,,,,,,
MERRY MILLER,Greene King,0.24%,0.33%,0.310,0.630,0.562,2.080,0.014,0.047,01:23:58,01:41:17,00:17:19,51.69345488,-1.329111161,OX13 6JW,4,AC,Pub,,,,,,,,,,,,,,,,,,
MILLERS HOTEL,Greene King,1.64%,4.04%,1.936,4.306,3.841,14.209,0.098,0.169,03:01:31,05:40:28,02:38:56,52.60177107,-1.476515517,CV13 6LB,2,AC,Pub,,,,,,,,,,,,,,,,,,
MILTON ARMS,Greene King,1.73%,3.04%,2.087,4.529,4.040,14.946,0.104,0.208,02:13:18,03:28:26,01:15:07,52.22304074,0.136212975,CB4 1XG,6,AC,Pub,,,,,,,,,,,,,,,,,,
MONKHAMS,Greene King,4.46%,6.72%,5.299,11.689,10.427,38.574,0.267,0.416,02:45:40,03:50:41,01:05:01,51.61840835,0.045395975,IG9 6HY,4,AC,Pub,,,,,,,,,,,,,,,,,,
NABB INN,Greene King,0.61%,0.84%,0.736,1.601,1.428,5.283,0.037,0.076,02:08:53,02:37:31,00:28:39,53.03201393,-1.228209758,NG15 6NT,6,AC,Pub,,,,,,,,,,,,,,,,,,
NAGS HEAD,Greene King,2.72%,5.25%,3.341,7.129,6.359,23.524,0.163,0.359,02:06:35,03:28:55,01:22:20,53.50122561,-3.000110541,L23 1TJ,6,AC,Pub,,,,,,,,,,,,,,,,,,
NEW CLOCK INN,Greene King,0.36%,0.47%,0.318,0.681,0.608,2.248,0.016,0.057,01:15:15,01:23:29,00:08:15,50.96447147,-1.306727138,SO50 8AA,4,AC,Pub,,,,,,,,,,,,,,,,,,
NEW INN,Greene King,1.64%,4.07%,1.991,4.300,3.836,14.190,0.098,0.207,02:28:34,04:40:20,02:11:46,51.607745,-2.89564125,NP18 2JN,4,AC,Pub,,,,,,,,,,,,,,,,,,
NEWTON PARK,Greene King,1.41%,2.13%,1.737,3.702,3.303,12.218,0.085,0.167,02:14:49,03:01:48,00:46:59,55.00164,-1.580325442,NE7 7EB,6,AC,Pub,,,,,,,,,,,,,,,,,,
OAK TREE,Greene King,1.64%,2.01%,1.935,4.290,3.826,14.156,0.098,0.246,01:44:15,01:56:44,00:12:29,53.21338701,-2.897025433,CH2 1BF,4,AC,Pub,,,,,,,,,,,,,,,,,,
OAKLANDS,Greene King,3.78%,7.01%,4.553,9.897,8.828,32.661,0.226,0.375,02:48:03,04:27:00,01:38:57,53.20167574,-2.871788669,CH2 3NB,6,AC,Pub,,,,,,,,,,,,,,,,,,
OLD RED LION,Greene King,0.43%,0.65%,0.552,1.138,1.015,3.756,0.026,0.071,01:46:55,02:10:24,00:23:30,51.89169435,-0.176120958,SG2 9XR,4,AC,Pub,,,,,,,,,,,,,,,,,,
ORANGE TREE,Greene King,1.11%,1.68%,1.335,2.911,2.597,9.608,0.067,0.128,02:13:41,03:07:36,00:53:54,51.87629478,0.573807615,CM7 3PH,4,AC,Pub,,,,,,,,,,,,,,,,,,
OXON PRIORY,Greene King,0.97%,2.36%,1.199,2.529,2.256,8.347,0.058,0.110,02:57:15,05:05:25,02:08:10,52.71481421,-2.793133947,SY3 8DL,4,AC,Pub,,,,,,,,,,,,,,,,,,
PAUL PRY,Greene King,1.66%,3.10%,1.980,4.338,3.870,14.317,0.099,0.182,02:46:39,04:02:34,01:15:55,51.58314174,0.600730271,SS6 7AA,6,AC,Pub,,,,,,,,,,,,,,,,,,
PHEASANT,Greene King,0.76%,1.22%,0.938,1.978,1.764,6.526,0.045,0.110,01:55:20,02:38:18,00:42:58,53.74121344,-1.64935331,WF17 9LP,4,AC,Pub,,,,,,,,,,,,,,,,,,
